epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,5267.17,0.76623,0.50795,1.1436,0.94099,0.96196,0.97811,0.78492,0.80313,0.37448,1.11472,0.000364257,0.000364257,0.000364257
135,5305.89,0.77058,0.52131,1.13848,0.94018,0.95668,0.97719,0.78218,0.79934,0.38059,1.11156,0.000359309,0.000359309,0.000359309
136,5344.5,0.75985,0.51662,1.13449,0.92366,0.97319,0.97722,0.78575,0.79487,0.37364,1.10731,0.000354368,0.000354368,0.000354368
137,5383.3,0.74878,0.49948,1.12927,0.91754,0.97174,0.97495,0.78035,0.79845,0.3788,1.10487,0.000349435,0.000349435,0.000349435
138,5426.98,0.74533,0.50017,1.12473,0.92057,0.96994,0.97712,0.78303,0.79678,0.37379,1.10872,0.000344511,0.000344511,0.000344511
139,5465.94,0.75403,0.50799,1.13777,0.94542,0.95109,0.97704,0.78376,0.79905,0.36814,1.11582,0.000339596,0.000339596,0.000339596
140,5504.91,0.74995,0.50094,1.13516,0.94021,0.95326,0.97383,0.78441,0.79666,0.37241,1.11134,0.000334691,0.000334691,0.000334691
141,5547.93,0.744,0.50204,1.13024,0.93637,0.95967,0.97419,0.79249,0.78634,0.36595,1.10611,0.000329797,0.000329797,0.000329797
142,5589.56,0.75917,0.50891,1.13302,0.9373,0.95435,0.97355,0.7917,0.78287,0.37618,1.10125,0.000324915,0.000324915,0.000324915
143,5634.96,0.74399,0.49717,1.12699,0.93082,0.96739,0.97341,0.78767,0.78211,0.3756,1.10149,0.000320045,0.000320045,0.000320045
144,5680.75,0.74463,0.50253,1.13077,0.93355,0.96208,0.97574,0.78728,0.78286,0.37272,1.10534,0.000315189,0.000315189,0.000315189
145,5726.33,0.73753,0.49507,1.12609,0.9378,0.95326,0.97381,0.78255,0.78467,0.37141,1.11004,0.000310346,0.000310346,0.000310346
146,5771.09,0.74385,0.50318,1.1334,0.93914,0.94565,0.97195,0.7827,0.79017,0.37183,1.11368,0.000305519,0.000305519,0.000305519
147,5816.08,0.74918,0.50546,1.13092,0.93993,0.95251,0.97738,0.78924,0.78859,0.36893,1.11324,0.000300707,0.000300707,0.000300707
148,5862.25,0.73743,0.4924,1.1216,0.93891,0.95221,0.9765,0.79292,0.78641,0.36679,1.11245,0.000295911,0.000295911,0.000295911
149,5905.5,0.73373,0.49232,1.12401,0.93958,0.95761,0.9761,0.7901,0.78593,0.36651,1.11454,0.000291132,0.000291132,0.000291132
150,5945.02,0.7159,0.47647,1.10734,0.93911,0.95109,0.97351,0.78894,0.78731,0.36999,1.1143,0.000286372,0.000286372,0.000286372
151,115.075,0.73569,0.49955,1.12495,0.92898,0.96686,0.97526,0.7902,0.78696,0.3701,1.11443,0.000281629,0.000281629,0.000281629
152,162.18,0.74361,0.50277,1.12773,0.93774,0.9587,0.97595,0.78598,0.7838,0.36636,1.10713,0.000276906,0.000276906,0.000276906
153,220.93,0.7175,0.47759,1.11654,0.9381,0.95978,0.9768,0.78651,0.78548,0.36536,1.11052,0.000272203,0.000272203,0.000272203
154,280.881,0.72905,0.49249,1.12137,0.94195,0.96304,0.97691,0.78923,0.78539,0.36404,1.11206,0.000267521,0.000267521,0.000267521
155,335.693,0.72497,0.48368,1.12096,0.93789,0.96522,0.97689,0.78798,0.7849,0.36765,1.11002,0.000262861,0.000262861,0.000262861
156,394.433,0.72026,0.48758,1.11682,0.93866,0.9648,0.97713,0.78763,0.78719,0.36496,1.11125,0.000258223,0.000258223,0.000258223
157,454.187,0.72527,0.48641,1.11561,0.94331,0.96087,0.97612,0.7866,0.78499,0.36595,1.10894,0.000253607,0.000253607,0.000253607
158,514.565,0.7206,0.48245,1.11251,0.94637,0.95908,0.97583,0.78534,0.78126,0.36814,1.10498,0.000249016,0.000249016,0.000249016
159,573.684,0.71273,0.47588,1.10387,0.94636,0.95889,0.97556,0.78497,0.78598,0.37199,1.10372,0.000244449,0.000244449,0.000244449
160,634.063,0.70764,0.47023,1.10379,0.94841,0.95922,0.97635,0.78234,0.79248,0.37144,1.10789,0.000239907,0.000239907,0.000239907
161,687.103,0.72142,0.48153,1.11461,0.94287,0.95543,0.97444,0.78389,0.799,0.36804,1.11126,0.000235391,0.000235391,0.000235391
162,730.981,0.71181,0.46854,1.10657,0.94504,0.9533,0.97541,0.78474,0.79962,0.36668,1.11403,0.000230902,0.000230902,0.000230902
163,774.276,0.71833,0.48366,1.11544,0.94282,0.9587,0.97709,0.78553,0.79813,0.36506,1.11522,0.00022644,0.00022644,0.00022644
164,818.349,0.71334,0.47574,1.11008,0.94286,0.96851,0.97832,0.78678,0.7947,0.36609,1.1113,0.000222006,0.000222006,0.000222006
165,873.89,0.70343,0.46978,1.103,0.94108,0.96848,0.97483,0.78792,0.79032,0.36833,1.10681,0.000217601,0.000217601,0.000217601
166,928.631,0.70562,0.46827,1.09965,0.94248,0.96522,0.97536,0.78804,0.78963,0.36696,1.10512,0.000213226,0.000213226,0.000213226
167,989.253,0.70277,0.46019,1.09175,0.94299,0.96413,0.97525,0.78767,0.78675,0.36628,1.10232,0.00020888,0.00020888,0.00020888
168,1044.34,0.69869,0.46043,1.09434,0.9431,0.96196,0.97544,0.78729,0.7857,0.36814,1.10034,0.000204565,0.000204565,0.000204565
169,1099.89,0.71124,0.47164,1.1026,0.93762,0.96392,0.97438,0.78828,0.78247,0.36895,1.09946,0.000200282,0.000200282,0.000200282
170,1143.83,0.69187,0.45285,1.09425,0.93574,0.96553,0.97435,0.78902,0.78246,0.36806,1.10655,0.000196031,0.000196031,0.000196031
171,1188.11,0.70315,0.46738,1.09937,0.93489,0.9663,0.97417,0.78889,0.78365,0.36771,1.10581,0.000191813,0.000191813,0.000191813
172,1232.22,0.69727,0.46619,1.09813,0.92971,0.96304,0.97338,0.78858,0.78354,0.36886,1.10532,0.000187628,0.000187628,0.000187628
173,1276.2,0.68884,0.45758,1.09263,0.93914,0.95606,0.97456,0.78912,0.78228,0.36893,1.10375,0.000183477,0.000183477,0.000183477
174,1320.74,0.67583,0.44624,1.08165,0.93626,0.95803,0.97481,0.7901,0.78325,0.36781,1.10121,0.000179361,0.000179361,0.000179361
175,1366.05,0.69173,0.45631,1.09055,0.93811,0.95761,0.9742,0.78916,0.7839,0.36772,1.10324,0.000175281,0.000175281,0.000175281
176,1411.44,0.68474,0.44944,1.08418,0.94213,0.95566,0.97358,0.78943,0.78081,0.36916,1.10105,0.000171237,0.000171237,0.000171237
177,1455.58,0.66945,0.44182,1.08468,0.94232,0.95543,0.97417,0.79146,0.77888,0.36359,1.10108,0.00016723,0.00016723,0.00016723
178,1499.44,0.67729,0.44322,1.08342,0.94395,0.95182,0.9748,0.79261,0.77855,0.36396,1.10009,0.00016326,0.00016326,0.00016326
179,1543.69,0.67517,0.44413,1.07796,0.94579,0.95652,0.97492,0.79307,0.77955,0.36207,1.09782,0.000159328,0.000159328,0.000159328
180,1587.83,0.6831,0.45805,1.09021,0.9462,0.96087,0.97491,0.79161,0.78016,0.36246,1.09623,0.000155434,0.000155434,0.000155434
181,1632.25,0.67597,0.44841,1.08718,0.94677,0.96196,0.97458,0.79175,0.78195,0.36409,1.09696,0.00015158,0.00015158,0.00015158
182,1677.4,0.67806,0.44614,1.07935,0.94729,0.95717,0.9737,0.79242,0.78153,0.36416,1.09643,0.000147766,0.000147766,0.000147766
